name,party,state,url
Adia McClellan Winfrey,Democratic,Alabama,https://ballotpedia.org/Adia_McClellan_Winfrey
Audri Scott Williams,Democratic,Alabama,https://ballotpedia.org/Audri_Scott_Williams
Butler Cain,Democratic,Alabama,https://ballotpedia.org/Butler_Cain
Danner Kline,Democratic,Alabama,https://ballotpedia.org/Danner_Kline
Jesse Smith,Democratic,Alabama,https://ballotpedia.org/Jesse_Smith
Lee Auman,Democratic,Alabama,https://ballotpedia.org/Lee_Auman
Lizzetta Hill McConnell,Democratic,Alabama,https://ballotpedia.org/Lizzetta_Hill_McConnell
Mallory Hagan,Democratic,Alabama,https://ballotpedia.org/Mallory_Hagan
Peter Joffrion,Democratic,Alabama,https://ballotpedia.org/Peter_Joffrion
Richard Rice,Democratic,Alabama,https://ballotpedia.org/Richard_Rice
Rick Neighbors,Democratic,Alabama,https://ballotpedia.org/Rick_Neighbors
Robert Kennedy Jr. (Alabama),Democratic,Alabama,https://ballotpedia.org/Robert_Kennedy_Jr._(Alabama)
Tabitha Isner,Democratic,Alabama,https://ballotpedia.org/Tabitha_Isner
Terri Sewell,Democratic,Alabama,https://ballotpedia.org/Terri_Sewell
Anthony Blackmon,Republican,Alabama,https://ballotpedia.org/Anthony_Blackmon
Barry Moore,Republican,Alabama,https://ballotpedia.org/Barry_Moore
Bill Holtzclaw,Republican,Alabama,https://ballotpedia.org/Bill_Holtzclaw
Bobby Bright,Republican,Alabama,https://ballotpedia.org/Bobby_Bright
Bradley Byrne,Republican,Alabama,https://ballotpedia.org/Bradley_Byrne
Clayton Hinchman,Republican,Alabama,https://ballotpedia.org/Clayton_Hinchman
Gary Palmer,Republican,Alabama,https://ballotpedia.org/Gary_Palmer
Martha Roby,Republican,Alabama,https://ballotpedia.org/Martha_Roby
Michael Sweeney (Alabama),Republican,Alabama,https://ballotpedia.org/Michael_Sweeney_(Alabama)
Mike Moses,Republican,Alabama,https://ballotpedia.org/Mike_Moses
Mike Rogers (Alabama),Republican,Alabama,https://ballotpedia.org/Mike_Rogers_(Alabama)
Mo Brooks,Republican,Alabama,https://ballotpedia.org/Mo_Brooks
Phil Norris,Republican,Alabama,https://ballotpedia.org/Phil_Norris
Rich Hobson,Republican,Alabama,https://ballotpedia.org/Rich_Hobson
Robert Aderholt,Republican,Alabama,https://ballotpedia.org/Robert_Aderholt
Tommy Amason,Republican,Alabama,https://ballotpedia.org/Tommy_Amason
Alyse Galvin,Democratic,Alaska,https://ballotpedia.org/Alyse_Galvin
Carol Hafner,Democratic,Alaska,https://ballotpedia.org/Carol_Hafner
Christopher Cumings,Democratic,Alaska,https://ballotpedia.org/Christopher_Cumings
Dimitri Shein,Democratic,Alaska,https://ballotpedia.org/Dimitri_Shein
Don Young (Alaska),Republican,Alaska,https://ballotpedia.org/Don_Young_(Alaska)
Jed Whittaker,Republican,Alaska,https://ballotpedia.org/Jed_Whittaker
Thomas Nelson (Alaska),Republican,Alaska,https://ballotpedia.org/Thomas_Nelson_(Alaska)
Ana Maria Perez,Democratic,Arizona,https://ballotpedia.org/Ana_Maria_Perez
Anita Malik,Democratic,Arizona,https://ballotpedia.org/Anita_Malik
Ann Kirkpatrick,Democratic,Arizona,https://ballotpedia.org/Ann_Kirkpatrick
Barbara Sherry,Democratic,Arizona,https://ballotpedia.org/Barbara_Sherry
Billy Kovacs,Democratic,Arizona,https://ballotpedia.org/Billy_Kovacs
Bob Musselwhite,Democratic,Arizona,https://ballotpedia.org/Bob_Musselwhite
Bob Olsen,Democratic,Arizona,https://ballotpedia.org/Bob_Olsen
Brianna Westbrook,Democratic,Arizona,https://ballotpedia.org/Brianna_Westbrook
Bruce Wheeler,Democratic,Arizona,https://ballotpedia.org/Bruce_Wheeler
Catherine Miranda,Democratic,Arizona,https://ballotpedia.org/Catherine_Miranda
David Brill,Democratic,Arizona,https://ballotpedia.org/David_Brill
Delina DiSanto,Democratic,Arizona,https://ballotpedia.org/Delina_DiSanto
Garrick McFadden,Democratic,Arizona,https://ballotpedia.org/Garrick_McFadden
Gene Scharer,Democratic,Arizona,https://ballotpedia.org/Gene_Scharer
Gustavo Ortega,Democratic,Arizona,https://ballotpedia.org/Gustavo_Ortega
Heather Ross,Democratic,Arizona,https://ballotpedia.org/Heather_Ross
Hector Araujo,Democratic,Arizona,https://ballotpedia.org/Hector_Araujo
Hiral Tipirneni,Democratic,Arizona,https://ballotpedia.org/Hiral_Tipirneni
Joan Greene,Democratic,Arizona,https://ballotpedia.org/Joan_Greene
John Williamson (Arizona),Democratic,Arizona,https://ballotpedia.org/John_Williamson_(Arizona)
Jose Torres,Democratic,Arizona,https://ballotpedia.org/Jose_Torres
Joshua Garcia (Arizona),Democratic,Arizona,https://ballotpedia.org/Joshua_Garcia_(Arizona)
Judith McHale,Democratic,Arizona,https://ballotpedia.org/Judith_McHale
Lisa Chappelle,Democratic,Arizona,https://ballotpedia.org/Lisa_Chappelle
Mary Matiella,Democratic,Arizona,https://ballotpedia.org/Mary_Matiella
Matt Heinz,Democratic,Arizona,https://ballotpedia.org/Matt_Heinz
Miguel Olivas,Democratic,Arizona,https://ballotpedia.org/Miguel_Olivas
Raul Grijalva,Democratic,Arizona,https://ballotpedia.org/Raul_Grijalva
Ruben Gallego,Democratic,Arizona,https://ballotpedia.org/Ruben_Gallego
Scott Menor,Democratic,Arizona,https://ballotpedia.org/Scott_Menor
Talia Fuentes,Democratic,Arizona,https://ballotpedia.org/Talia_Fuentes
Tom O'Halleran,Democratic,Arizona,https://ballotpedia.org/Tom_O%27Halleran
Tony Margalis,Democratic,Arizona,https://ballotpedia.org/Tony_Margalis
William Foster (Arizona),Democratic,Arizona,https://ballotpedia.org/William_Foster_(Arizona)
Yahya Yuksel,Democratic,Arizona,https://ballotpedia.org/Yahya_Yuksel
Andy Biggs,Republican,Arizona,https://ballotpedia.org/Andy_Biggs
Bill Abatecola,Republican,Arizona,https://ballotpedia.org/Bill_Abatecola
Bob Stump,Republican,Arizona,https://ballotpedia.org/Bob_Stump
Brandon Martin (Arizona),Republican,Arizona,https://ballotpedia.org/Brandon_Martin_(Arizona)
Brenden Dilley,Republican,Arizona,https://ballotpedia.org/Brenden_Dilley
Casey Welch,Republican,Arizona,https://ballotpedia.org/Casey_Welch
Chad Allen,Republican,Arizona,https://ballotpedia.org/Chad_Allen
Chris Sylvester (Arizona),Republican,Arizona,https://ballotpedia.org/Chris_Sylvester_(Arizona)
Clair Van Steenwyk,Republican,Arizona,https://ballotpedia.org/Clair_Van_Steenwyk
Danny Morales,Republican,Arizona,https://ballotpedia.org/Danny_Morales
Dave Giles,Republican,Arizona,https://ballotpedia.org/Dave_Giles
David Lien,Republican,Arizona,https://ballotpedia.org/David_Lien
David Schweikert,Republican,Arizona,https://ballotpedia.org/David_Schweikert
Debbie Lesko,Republican,Arizona,https://ballotpedia.org/Debbie_Lesko
Edna San Miguel,Republican,Arizona,https://ballotpedia.org/Edna_San_Miguel
Irina Baroness Von Behr,Republican,Arizona,https://ballotpedia.org/Irina_Baroness_Von_Behr
James Bond IV (Arizona),Republican,Arizona,https://ballotpedia.org/James_Bond_IV_(Arizona)
John Heffernan III,Republican,Arizona,https://ballotpedia.org/John_Heffernan_III
Kevin Cavanaugh (Arizona),Republican,Arizona,https://ballotpedia.org/Kevin_Cavanaugh_(Arizona)
Lea Marquez Peterson,Republican,Arizona,https://ballotpedia.org/Lea_Marquez_Peterson
Marilyn Wiles,Republican,Arizona,https://ballotpedia.org/Marilyn_Wiles
Mark Yates,Republican,Arizona,https://ballotpedia.org/Mark_Yates
Martha McSally,Republican,Arizona,https://ballotpedia.org/Martha_McSally
Melissa Grable,Republican,Arizona,https://ballotpedia.org/Melissa_Grable
Nicolas Pierson,Republican,Arizona,https://ballotpedia.org/Nicolas_Pierson
Paul Gosar,Republican,Arizona,https://ballotpedia.org/Paul_Gosar
Phil Lovas,Republican,Arizona,https://ballotpedia.org/Phil_Lovas
Richard Mack,Republican,Arizona,https://ballotpedia.org/Richard_Mack
Sandra Dowling,Republican,Arizona,https://ballotpedia.org/Sandra_Dowling
Sergio Arellano,Republican,Arizona,https://ballotpedia.org/Sergio_Arellano
Seth Leibsohn,Republican,Arizona,https://ballotpedia.org/Seth_Leibsohn
Stephen Dolgos,Republican,Arizona,https://ballotpedia.org/Stephen_Dolgos
Steve B. Montenegro,Republican,Arizona,https://ballotpedia.org/Steve_B._Montenegro
Steve Ferrara,Republican,Arizona,https://ballotpedia.org/Steve_Ferrara
Steve Smith (Arizona),Republican,Arizona,https://ballotpedia.org/Steve_Smith_(Arizona)
Tiffany Shedd,Republican,Arizona,https://ballotpedia.org/Tiffany_Shedd
Wendy Rogers,Republican,Arizona,https://ballotpedia.org/Wendy_Rogers
Chintan Desai,Democratic,Arkansas,https://ballotpedia.org/Chintan_Desai
Clarke Tucker,Democratic,Arkansas,https://ballotpedia.org/Clarke_Tucker
Gwen Combs,Democratic,Arkansas,https://ballotpedia.org/Gwen_Combs
Hayden Shamel,Democratic,Arkansas,https://ballotpedia.org/Hayden_Shamel
Jonathan Dunkley,Democratic,Arkansas,https://ballotpedia.org/Jonathan_Dunkley
Joshua Mahony,Democratic,Arkansas,https://ballotpedia.org/Joshua_Mahony
