name,ave_retweet,ave_favorite,retweet_count,favorite_count,tweet_count,state,district_N,party,abbreviation,district_key
Aaron Swisher,3.1632653061224483,5.566326530612245,620,1091,196,Idaho,02,Democratic,ID,ID-02
Abby Finkenauer,23.77179487179487,77.4076923076923,9271,30189,390,Iowa,01,Democratic,IA,IA-01
Abigail Spanberger,29.395604395604394,75.64497041420118,34775,89488,1183,Virginia,07,Democratic,VA,VA-07
Adam Kinzinger,10.333333333333334,27.444444444444446,279,741,27,Illinois,16,Republican,IL,IL-16
Adam Smith,1.524590163934426,6.202185792349727,279,1135,183,Washington,09,Democratic,WA,WA-09
Adriano Espaillat,9.25,42.25,74,338,8,New York,13,Democratic,NY,NY-13
Adrienne Bell,17.7882096069869,37.97307132459971,24441,52175,1374,Texas,14,Democratic,TX,TX-14
Aftab Pureval,49.841791044776116,183.66268656716414,16697,61527,335,Ohio,01,Democratic,OH,OH-01
Aja Smith,48.15105162523901,65.2906309751434,50366,68294,1046,California,41,Republican,CA,CA-41
Alan LaPolice,3.771929824561404,7.0701754385964914,215,403,57,Kansas,01,Democratic,KS,KS-01
Alan Lowenthal,0.7063106796116505,1.9466019417475728,291,802,412,California,47,Democratic,CA,CA-47
Alexander Mooney,2.293333333333333,6.3066666666666675,172,473,75,West Virginia,02,Republican,WV,WV-02
Alexandria Ocasio-Cortez,716.1731620903453,3512.950841452613,1617119,7932243,2258,New York,14,Democratic,NY,NY-14
Alfred Lawson,0.4822695035460993,1.2624113475177303,68,178,141,Florida,05,Democratic,FL,FL-05
Alma Adams,3.0,9.333333333333334,27,84,9,North Carolina,12,Democratic,NC,NC-12
Alyse Galvin,6.543367346938775,19.433673469387763,2565,7618,392,Alaska,00,Democratic,AK,AK-00
Ameer Benno,0.6699507389162561,1.5467980295566504,136,314,203,New York,04,Republican,NY,NY-04
Ami Bera,3.9283018867924526,7.856603773584906,1041,2082,265,California,07,Democratic,CA,CA-07
Amie Hoeber,0.5194805194805194,2.415584415584416,40,186,77,Maryland,06,Republican,MD,MD-06
Ammar Campa-Najjar,71.59370078740156,210.17480314960633,45462,133461,635,California,50,Democratic,CA,CA-50
Amy McGrath,148.87246376811598,562.472463768116,154083,582159,1035,Kentucky,06,Democratic,KY,KY-06
Andie Saizan,1.743119266055046,3.5825688073394497,380,781,218,Louisiana,06,Democratic,LA,LA-06
Andre Carson,2.4468085106382977,6.595744680851063,115,310,47,Indiana,07,Democratic,IN,IN-07
Andrew Grant,1.4923076923076923,3.9179487179487182,582,1528,390,California,07,Republican,CA,CA-07
Andrew Janz,772.5857487922707,1755.1497584541062,1279402,2906528,1656,California,22,Democratic,CA,CA-22
Andrew Kim,36.5982905982906,95.25128205128205,21410,55722,585,New Jersey,03,Democratic,NJ,NJ-03
Andy Barr,11.054347826086957,28.39855072463768,3051,7838,276,Kentucky,06,Republican,KY,KY-06
Andy Biggs,9.95,22.88333333333333,597,1373,60,Arizona,05,Republican,AZ,AZ-05
Andy Levin,2.9239436619718315,8.033802816901407,1038,2852,355,Michigan,09,Democratic,MI,MI-09
Angel Cadena,0.2898550724637681,0.6376811594202898,20,44,69,Connecticut,03,Republican,CT,CT-03
Angie Craig,22.66866028708134,71.20813397129187,18951,59530,836,Minnesota,02,Democratic,MN,MN-02
Anita Malik,9.282644628099174,21.747107438016528,5616,13157,605,Arizona,06,Democratic,AZ,AZ-06
Ann Kirkpatrick,10.297814207650273,28.387978142076502,3769,10390,366,Arizona,02,Democratic,AZ,AZ-02
Ann Wagner,5.418604651162791,17.941860465116278,466,1543,86,Missouri,02,Republican,MO,MO-02
Anna Eshoo,0.3636363636363637,1.4545454545454546,4,16,11,California,18,Democratic,CA,CA-18
Annie Kuster,4.3359375,12.5625,555,1608,128,New Hampshire,02,Democratic,NH,NH-02
Anthony Brindisi,22.6156462585034,65.01190476190476,13298,38227,588,New York,22,Democratic,NY,NY-22
Anthony Brown,5.0625,14.75,81,236,16,Maryland,04,Democratic,MD,MD-04
Anthony Flaccavento,3.9148073022312375,11.614604462474643,1930,5726,493,Virginia,09,Democratic,VA,VA-09
Anthony Gonzalez,8.314878892733564,66.93425605536332,2403,19344,289,Ohio,16,Republican,OH,OH-16
Antonio Delgado,14.779231398201144,46.60670482420279,18075,57000,1223,New York,19,Democratic,NY,NY-19
Antonio Sabato Jr.,35.73,84.83,3573,8483,100,California,26,Republican,CA,CA-26
Archie Parnell,91.38596491228071,157.44444444444446,31254,53846,342,South Carolina,05,Democratic,SC,SC-05
Art Robinson,1.9285714285714288,2.4107142857142856,108,135,56,Oregon,04,Republican,OR,OR-04
Audrey Denney,18.288,43.824,6858,16434,375,California,01,Democratic,CA,CA-01
Ava Pate,4.557971014492754,6.8731884057971016,3774,5691,828,Texas,18,Republican,TX,TX-18
Ayanna Pressley,21.81531853972799,94.20830350751609,30476,131609,1397,Massachusetts,07,Democratic,MA,MA-07
Barbara Comstock,9.063613231552162,24.964376590330787,3562,9811,393,Virginia,10,Republican,VA,VA-10
Barbara Lee,5.977829638273046,19.18086347724621,5123,16438,857,California,13,Democratic,CA,CA-13
Barry Loudermilk,1.0842105263157895,4.378947368421053,103,416,95,Georgia,11,Republican,GA,GA-11
Beau Liegeois,6.316582914572863,14.597989949748746,1257,2905,199,Wisconsin,08,Democratic,WI,WI-08
Ben Cline,65.44029850746269,152.3208955223881,8769,20411,134,Virginia,06,Republican,VA,VA-06
Ben McAdams,20.230088495575217,81.23893805309734,2286,9180,113,Utah,04,Democratic,UT,UT-04
Ben Ray Lujan,4.155172413793103,13.39655172413793,241,777,58,New Mexico,03,Democratic,NM,NM-03
Betsy Londrigan,19.035190615835774,54.29032258064516,6491,18513,341,Illinois,13,Democratic,IL,IL-13
Betsy Rader,17.944816053511705,39.986622073578594,10731,23912,598,Ohio,14,Democratic,OH,OH-14
Betty McCollum,1.9832134292565948,3.4556354916067145,827,1441,417,Minnesota,04,Democratic,MN,MN-04
Beverly Goldstein,36.348979591836745,44.05510204081633,17811,21587,490,Ohio,11,Republican,OH,OH-11
Bibiana Boerio,11.82474226804124,20.958762886597942,1147,2033,97,Pennsylvania,14,Democratic,PA,PA-14
Bill Flores,1.1111111111111112,2.3641975308641974,360,766,324,Texas,17,Republican,TX,TX-17
Bill Foster,0.8,2.8,28,98,35,Illinois,11,Democratic,IL,IL-11
Bill Johnson,0.75,3.430555555555556,54,247,72,Ohio,06,Republican,OH,OH-06
Bill Keating,2.9285714285714284,6.982142857142858,164,391,56,Massachusetts,09,Democratic,MA,MA-09
Bill Pascrell,1.25,5.5,10,44,8,New Jersey,09,Democratic,NJ,NJ-09
Billy Long,0.38333333333333336,1.7916666666666667,92,430,240,Missouri,07,Republican,MO,MO-07
Blaine Luetkemeyer,1.1448275862068966,3.5517241379310347,166,515,145,Missouri,03,Republican,MO,MO-03
Bob Gibbs,2.3714285714285714,5.7714285714285705,83,202,35,Ohio,07,Republican,OH,OH-07
Bob Latta,0.9680851063829788,3.265957446808511,91,307,94,Ohio,05,Republican,OH,OH-05
Bob Rackleff,1.4705882352941178,3.6068111455108363,475,1165,323,Florida,02,Democratic,FL,FL-02
Bobby Scott,7.0769230769230775,19.30769230769231,92,251,13,Virginia,03,Democratic,VA,VA-03
Brad Schneider,2.716049382716049,13.08641975308642,220,1060,81,Illinois,10,Democratic,IL,IL-10
Brad Wenstrup,1.934523809523809,10.357142857142858,325,1740,168,Ohio,02,Republican,OH,OH-02
Bradley Byrne,1.7424242424242424,5.318181818181818,115,351,66,Alabama,01,Republican,AL,AL-01
Brandon Brown,4.298969072164948,5.8298969072164954,834,1131,194,South Carolina,04,Democratic,SC,SC-04
Brenda Lawrence,5.411347517730497,17.77304964539007,763,2506,141,Michigan,14,Democratic,MI,MI-14
Brendan Kelly,10.469072164948452,27.371134020618552,4062,10620,388,Illinois,12,Democratic,IL,IL-12
Brent Ottaway,8.018867924528301,13.679245283018869,425,725,53,Pennsylvania,13,Democratic,PA,PA-13
Brett Guthrie,1.0,8.0,9,72,9,Kentucky,02,Republican,KY,KY-02
Brian Babin,0.20689655172413796,2.896551724137931,6,84,29,Texas,36,Republican,TX,TX-36
Brian Evans,1.345,6.275,269,1255,200,Hawaii,02,Republican,HI,HI-02
