name,ave_retweet,ave_favorite,retweet_count,favorite_count,tweet_count,state,district_N,party
Aaron Swisher,3.163265306122449,5.566326530612245,620,1091,196,Idaho,02,Democratic
Abby Finkenauer,23.77179487179487,77.4076923076923,9271,30189,390,Iowa,01,Democratic
Abigail Spanberger,29.395604395604394,75.64497041420118,34775,89488,1183,Virginia,07,Democratic
Adam Kinzinger,10.333333333333334,27.444444444444443,279,741,27,Illinois,16,Republican
Adam Smith,1.5245901639344261,6.202185792349726,279,1135,183,Washington,09,Democratic
Adriano Espaillat,9.25,42.25,74,338,8,New York,13,Democratic
Adrienne Bell,17.7882096069869,37.97307132459971,24441,52175,1374,Texas,14,Democratic
Aftab Pureval,49.841791044776116,183.66268656716417,16697,61527,335,Ohio,01,Democratic
Aja Smith,48.151051625239006,65.2906309751434,50366,68294,1046,California,41,Republican
Alan LaPolice,3.7719298245614037,7.0701754385964914,215,403,57,Kansas,01,Democratic
Alan Lowenthal,0.7063106796116505,1.9466019417475728,291,802,412,California,47,Democratic
Alexander Mooney,2.2933333333333334,6.306666666666667,172,473,75,West Virginia,02,Republican
Alexandria Ocasio-Cortez,716.1731620903454,3512.950841452613,1617119,7932243,2258,New York,14,Democratic
Alfred Lawson,0.48226950354609927,1.2624113475177305,68,178,141,Florida,05,Democratic
Alma Adams,3.0,9.333333333333334,27,84,9,North Carolina,12,Democratic
Alyse Galvin,6.543367346938775,19.433673469387756,2565,7618,392,Alaska,00,Democratic
Ameer Benno,0.6699507389162561,1.5467980295566504,136,314,203,New York,04,Republican
Ami Bera,3.9283018867924526,7.856603773584905,1041,2082,265,California,07,Democratic
Amie Hoeber,0.5194805194805194,2.4155844155844157,40,186,77,Maryland,06,Republican
Ammar Campa-Najjar,71.59370078740157,210.1748031496063,45462,133461,635,California,50,Democratic
Amy McGrath,148.87246376811595,562.472463768116,154083,582159,1035,Kentucky,06,Democratic
Andie Saizan,1.7431192660550459,3.5825688073394497,380,781,218,Louisiana,06,Democratic
Andre Carson,2.4468085106382977,6.595744680851064,115,310,47,Indiana,07,Democratic
Andrew Grant,1.4923076923076923,3.917948717948718,582,1528,390,California,07,Republican
Andrew Janz,772.5857487922706,1755.1497584541062,1279402,2906528,1656,California,22,Democratic
Andrew Kim,36.598290598290596,95.25128205128205,21410,55722,585,New Jersey,03,Democratic
Andy Barr,11.054347826086957,28.39855072463768,3051,7838,276,Kentucky,06,Republican
Andy Biggs,9.95,22.883333333333333,597,1373,60,Arizona,05,Republican
Andy Levin,2.923943661971831,8.033802816901408,1038,2852,355,Michigan,09,Democratic
Angel Cadena,0.2898550724637681,0.6376811594202898,20,44,69,Connecticut,03,Republican
Angie Craig,22.66866028708134,71.20813397129187,18951,59530,836,Minnesota,02,Democratic
Anita Malik,9.282644628099174,21.747107438016528,5616,13157,605,Arizona,06,Democratic
