district,name,party,state,twitter,url,district_N
"Candidate, U.S. House Alabama District 6",Danner Kline,Democratic,Alabama,https://www.twitter.com/votedannerkline,https://ballotpedia.org/Danner_Kline,6
"Candidate, U.S. House Alabama District 4",Lee Auman,Democratic,Alabama,https://www.twitter.com/LeeAuman2018,https://ballotpedia.org/Lee_Auman,4
"Candidate, U.S. House Alabama District 3",Mallory Hagan,Democratic,Alabama,https://www.twitter.com/HaganforHouse,https://ballotpedia.org/Mallory_Hagan,3
"Candidate, U.S. House Alabama District 5",Peter Joffrion,Democratic,Alabama,https://www.twitter.com/peter_joffrion,https://ballotpedia.org/Peter_Joffrion,5
"Candidate, U.S. House Alabama District 1",Robert Kennedy Jr.,Democratic,Alabama,https://www.twitter.com/Kennedy4Alabama,https://ballotpedia.org/Robert_Kennedy_Jr._(Alabama),1
"Candidate, U.S. House Alabama District 2",Tabitha Isner,Democratic,Alabama,https://www.twitter.com/TabithaK,https://ballotpedia.org/Tabitha_Isner,2
U.S. House Alabama District 7,Terri Sewell,Democratic,Alabama,https://www.twitter.com/sewell4congress,https://ballotpedia.org/Terri_Sewell,7
U.S. House Alabama District 6,Gary Palmer,Republican,Alabama,https://www.twitter.com/palmer4alabama,https://ballotpedia.org/Gary_Palmer,6
U.S. House Alabama District 2,Martha Roby,Republican,Alabama,https://www.twitter.com/TeamRoby,https://ballotpedia.org/Martha_Roby,2
U.S. House Alabama District 3,Mike Rogers,Republican,Alabama,https://www.twitter.com/MikeRogersCamp,https://ballotpedia.org/Mike_Rogers_(Alabama),3
U.S. House Alabama District 5,Mo Brooks,Republican,Alabama,https://www.twitter.com/mobrooksforsen,https://ballotpedia.org/Mo_Brooks,5
U.S. House Alabama District 4,Robert Aderholt,Republican,Alabama,https://www.twitter.com/Robert_Aderholt,https://ballotpedia.org/Robert_Aderholt,4
"Candidate, U.S. House Alaska At-large District",Alyse Galvin,Democratic,Alaska,https://www.twitter.com/AlyseGalvin,https://ballotpedia.org/Alyse_Galvin,0
U.S. House Alaska At-large District,Don Young,Republican,Alaska,https://www.twitter.com/DonYoungAK,https://ballotpedia.org/Don_Young_(Alaska),0
"Candidate, U.S. House Arizona District 6",Anita Malik,Democratic,Arizona,https://www.twitter.com/anitamalik,https://ballotpedia.org/Anita_Malik,6
"Candidate, U.S. House Arizona District 2",Ann Kirkpatrick,Democratic,Arizona,https://www.twitter.com/Ann_Kirkpatrick,https://ballotpedia.org/Ann_Kirkpatrick,2
"Candidate, U.S. House Arizona District 4",David Brill,Democratic,Arizona,https://www.twitter.com/brill4congress,https://ballotpedia.org/David_Brill,4
"Candidate, U.S. House Arizona District 8",Hiral Tipirneni,Democratic,Arizona,https://www.twitter.com/hiral4congress,https://ballotpedia.org/Hiral_Tipirneni,8
"Candidate, U.S. House Arizona District 5",Joan Greene,Democratic,Arizona,https://www.twitter.com/joangreeneaz,https://ballotpedia.org/Joan_Greene,5
U.S. House Arizona District 3,Raul Grijalva,Democratic,Arizona,https://www.twitter.com/standwithraul,https://ballotpedia.org/Raul_Grijalva,3
U.S. House Arizona District 7,Ruben Gallego,Democratic,Arizona,https://www.twitter.com/RubenGallego,https://ballotpedia.org/Ruben_Gallego,7
U.S. House Arizona District 1,Tom O'Halleran,Democratic,Arizona,https://www.twitter.com/TomOHalleran,https://ballotpedia.org/Tom_O%27Halleran,1
U.S. House Arizona District 5,Andy Biggs,Republican,Arizona,https://www.twitter.com/andybiggs4az,https://ballotpedia.org/Andy_Biggs,5
U.S. House Arizona District 6,David Schweikert,Republican,Arizona,https://www.twitter.com/DavidSchweikert,https://ballotpedia.org/David_Schweikert,6
"Candidate, U.S. House Arizona District 8",Debbie Lesko,Republican,Arizona,https://www.twitter.com/DebbieLesko,https://ballotpedia.org/Debbie_Lesko,8
"Candidate, U.S. House Arizona District 2",Lea Marquez Peterson,Republican,Arizona,https://www.twitter.com/LeaPeterson,https://ballotpedia.org/Lea_Marquez_Peterson,2
U.S. House Arizona District 4,Paul Gosar,Republican,Arizona,https://www.twitter.com/PaulGosar,https://ballotpedia.org/Paul_Gosar,4
"Candidate, U.S. House Arizona District 9",Steve Ferrara,Republican,Arizona,https://www.twitter.com/steveferraramd,https://ballotpedia.org/Steve_Ferrara,9
"Candidate, U.S. House Arizona District 1",Wendy Rogers,Republican,Arizona,https://www.twitter.com/WendyRogersAZ,https://ballotpedia.org/Wendy_Rogers,1
"Candidate, U.S. House Arkansas District 1",Chintan Desai,Democratic,Arkansas,https://www.twitter.com/DecideonDesai,https://ballotpedia.org/Chintan_Desai,1
"Candidate, U.S. House Arkansas District 2",Clarke Tucker,Democratic,Arkansas,https://www.twitter.com/clarketucker,https://ballotpedia.org/Clarke_Tucker,2
"Candidate, U.S. House Arkansas District 4",Hayden Shamel,Democratic,Arkansas,https://www.twitter.com/HaydenShamel,https://ballotpedia.org/Hayden_Shamel,4
"Candidate, U.S. House Arkansas District 3",Joshua Mahony,Democratic,Arkansas,https://www.twitter.com/joshuamahony,https://ballotpedia.org/Joshua_Mahony,3
U.S. House Arkansas District 4,Bruce Westerman,Republican,Arkansas,https://www.twitter.com/WestermanAR,https://ballotpedia.org/Bruce_Westerman,4
U.S. House Arkansas District 2,French Hill,Republican,Arkansas,https://www.twitter.com/electfrench,https://ballotpedia.org/French_Hill,2
U.S. House Arkansas District 1,Rick Crawford,Republican,Arkansas,https://www.twitter.com/crawford4cong,https://ballotpedia.org/Rick_Crawford_(Arkansas),1
U.S. House Arkansas District 3,Steve Womack,Republican,Arkansas,https://www.twitter.com/womack4congress,https://ballotpedia.org/Steve_Womack,3
U.S. House California District 28,Adam Schiff,Democratic,California,https://www.twitter.com/AdamSchiffCA,https://ballotpedia.org/Adam_Schiff,28
U.S. House California District 47,Alan Lowenthal,Democratic,California,https://www.twitter.com/alanlowenthal,https://ballotpedia.org/Alan_Lowenthal,47
U.S. House California District 7,Ami Bera,Democratic,California,https://www.twitter.com/beraforcongress,https://ballotpedia.org/Ami_Bera,7
"Candidate, U.S. House California District 50",Ammar Campa-Najjar,Democratic,California,https://www.twitter.com/acampanajjar,https://ballotpedia.org/Ammar_Campa-Najjar,50
"Candidate, U.S. House California District 22",Andrew Janz,Democratic,California,https://www.twitter.com/JanzforCongress,https://ballotpedia.org/Andrew_Janz,22
U.S. House California District 18,Anna Eshoo,Democratic,California,https://www.twitter.com/Eshoo4Congress,https://ballotpedia.org/Anna_Eshoo,18
"Candidate, U.S. House California District 1",Audrey Denney,Democratic,California,https://www.twitter.com/audrey4congress,https://ballotpedia.org/Audrey_Denney,1
U.S. House California District 13,Barbara Lee,Democratic,California,https://www.twitter.com/bleeforcongress,https://ballotpedia.org/Barbara_Lee,13
"Candidate, U.S. House California District 27",Bryan Witt,Democratic,California,https://www.twitter.com/wittforprogress,https://ballotpedia.org/Bryan_Witt,27
U.S. House California District 6,Doris Matsui,Democratic,California,https://www.twitter.com/Matsui4Congress,https://ballotpedia.org/Doris_Matsui,6
U.S. House California District 15,Eric Swalwell,Democratic,California,https://www.twitter.com/ericswalwell,https://ballotpedia.org/Eric_Swalwell,15
"Candidate, U.S. House California District 39",Gil Cisneros,Democratic,California,https://www.twitter.com/GilCisnerosCA,https://ballotpedia.org/Gil_Cisneros,39
U.S. House California District 32,Grace Napolitano,Democratic,California,https://www.twitter.com/grace4congress,https://ballotpedia.org/Grace_Napolitano,32
"Candidate, U.S. House California District 48",Harley Rouda,Democratic,California,https://www.twitter.com/harleyrouda,https://ballotpedia.org/Harley_Rouda,48
U.S. House California District 14,Jackie Speier,Democratic,California,https://www.twitter.com/JackieSpeier,https://ballotpedia.org/Jackie_Speier,14
U.S. House California District 2,Jared Huffman,Democratic,California,https://www.twitter.com/JaredHuffman,https://ballotpedia.org/Jared_Huffman,2
U.S. House California District 9,Jerry McNerney,Democratic,California,https://www.twitter.com/jerrymcnerney,https://ballotpedia.org/Jerry_McNerney,9
"Candidate, U.S. House California District 4",Jessica Morse,Democratic,California,https://www.twitter.com/Morse4America,https://ballotpedia.org/Jessica_Morse,4
U.S. House California District 34,Jimmy Gomez,Democratic,California,https://www.twitter.com/jimmygomezca,https://ballotpedia.org/Jimmy_Gomez,34
U.S. House California District 20,Jimmy Panetta,Democratic,California,https://www.twitter.com/JimmyPanetta,https://ballotpedia.org/Jimmy_Panetta,20
U.S. House California District 3,John Garamendi,Democratic,California,https://www.twitter.com/JohnGaramendi,https://ballotpedia.org/John_Garamendi,3
"Candidate, U.S. House California District 10",Josh Harder,Democratic,California,https://www.twitter.com/joshua_harder,https://ballotpedia.org/Josh_Harder,10
"Candidate, U.S. House California District 6",Jrmar Jefferson,Democratic,California,https://www.twitter.com/JrmarJefferson,https://ballotpedia.org/Jrmar_Jefferson,6
U.S. House California District 27,Judy Chu,Democratic,California,https://www.twitter.com/judychucampaign,https://ballotpedia.org/Judy_Chu,27
U.S. House California District 26,Julia Brownley,Democratic,California,https://www.twitter.com/JuliaBrownley,https://ballotpedia.org/Julia_Brownley,26
"Candidate, U.S. House California District 42",Julia Peacock,Democratic,California,https://www.twitter.com/Peacock4CA42,https://ballotpedia.org/Julia_Peacock,42
U.S. House California District 37,Karen Bass,Democratic,California,https://www.twitter.com/KarenBassTweets,https://ballotpedia.org/Karen_Bass,37
"Candidate, U.S. House California District 25",Katie Hill,Democratic,California,https://www.twitter.com/KatieHill4CA,https://ballotpedia.org/Katie_Hill,25
"Candidate, U.S. House California District 45",Katie Porter,Democratic,California,https://www.twitter.com/katieporteroc,https://ballotpedia.org/Katie_Porter,45
U.S. House California District 46,Lou Correa,Democratic,California,https://www.twitter.com/voteloucorrea,https://ballotpedia.org/Lou_Correa,46
U.S. House California District 11,Mark DeSaulnier,Democratic,California,https://www.twitter.com/MarkDeSaulnier,https://ballotpedia.org/Mark_DeSaulnier,11
U.S. House California District 41,Mark Takano,Democratic,California,https://www.twitter.com/MarkTakano,https://ballotpedia.org/Mark_Takano,41
