district_key,counts,democratic,republican,active,rating,AFFGEOID
LA-03,4,7.030172413793103,1.9,Democratic,Solid Republican,5001500US2203
LA-06,3,8.347670250896057,0.5714285714285714,Democratic,Solid Republican,5001500US2206
LA-01,3,10.019748653500898,2.5,Democratic,Solid Republican,5001500US2201
NY-09,2,2.1970443349753697,19.27840909090909,Republican,Solid Democratic,5001500US3609
IL-15,2,1.8282442748091603,0.0,Democratic,Solid Republican,5001500US1715
AZ-08,2,214.91337099811676,11.429667519181585,Democratic,Solid Republican,5001500US0408
NY-01,2,13.385796545105567,144.74883720930234,Republican,Likely Republican,5001500US3601
GA-11,2,4.6929460580912865,1.0842105263157895,Democratic,Solid Republican,5001500US1311
UT-01,2,2.9432624113475176,1.6842105263157894,Democratic,Solid Republican,5001500US4901
OK-01,2,0.9533333333333334,1.6213991769547325,Republican,Solid Republican,5001500US4001
TX-06,2,7.142548596112311,3.725806451612903,Democratic,Solid Republican,5001500US4806
CA-07,2,3.9283018867924526,1.4923076923076923,Democratic,Likely Democratic,5001500US0607
NY-21,2,8.833641404805915,4.671586715867159,Democratic,Likely Republican,5001500US3621
KY-01,2,7.0,10.925465838509316,Republican,Solid Republican,5001500US2101
OH-03,2,1.6444444444444444,0.0,Democratic,Solid Democratic,5001500US3903
MI-03,2,3.0795454545454546,204.10206718346254,Republican,Likely Republican,5001500US2603
TX-14,2,17.7882096069869,0.782608695652174,Democratic,Solid Republican,5001500US4814
WV-02,2,7.275862068965517,2.2933333333333334,Democratic,Solid Republican,5001500US5402
FL-22,2,147.58278145695365,1.46875,Democratic,Solid Democratic,5001500US1222
VA-07,2,29.395604395604394,29.100456621004565,Democratic,Toss-Up Republican,5001500US5107
NM-01,2,32.757620817843865,0.6076675026872089,Democratic,Solid Democratic,5001500US3501
IL-13,2,19.035190615835777,3.473684210526316,Democratic,Lean Republican,5001500US1713
MA-09,2,2.9285714285714284,1.6582278481012658,Democratic,Solid Democratic,5001500US2509
AR-03,2,11.252032520325203,1.2045454545454546,Democratic,Solid Republican,5001500US0503
UT-03,2,5.4904692082111435,2.096330275229358,Democratic,Solid Republican,5001500US4903
IN-09,2,10.430720506730008,2.9375,Democratic,Solid Republican,5001500US1809
SC-02,2,88.57538461538462,4.625,Democratic,Solid Republican,5001500US4502
CA-09,2,1.05,3.282608695652174,Republican,Solid Democratic,5001500US0609
MN-02,2,22.66866028708134,27.737142857142857,Republican,Lean Democratic,5001500US2702
UT-04,2,20.23008849557522,28.823170731707318,Republican,Toss-Up Republican,5001500US4904
OH-06,2,4.611713665943601,0.75,Democratic,Solid Republican,5001500US3906
NY-11,2,15.110285006195786,7.44,Democratic,Likely Republican,5001500US3611
TX-03,2,6.11496062992126,3.2651006711409396,Democratic,Solid Republican,5001500US4803
AZ-05,2,6.6253498600559775,9.95,Republican,Solid Republican,5001500US0405
IL-16,2,11.132584269662921,10.333333333333334,Democratic,Solid Republican,5001500US1716
VA-02,2,28.31934731934732,13.074589127686473,Democratic,Toss-Up Republican,5001500US5102
WI-08,2,6.316582914572864,1.3928571428571428,Democratic,Solid Republican,5001500US5508
MI-06,2,11.192307692307692,1.1384615384615384,Democratic,Likely Republican,5001500US2606
AR-01,2,9.765753424657534,2.238095238095238,Democratic,Solid Republican,5001500US0501
IA-04,2,108.64081255771006,530.7242339832869,Republican,Likely Republican,5001500US1904
MD-04,2,5.0625,0.043478260869565216,Democratic,Solid Democratic,5001500US2404
AL-06,2,23.058282208588956,2.1578947368421053,Democratic,Solid Republican,5001500US0106
CA-35,2,1.6571428571428573,1.21875,Democratic,Solid Democratic,5001500US0635
KS-03,2,81.33916849015317,12.163346613545817,Democratic,Lean Democratic,5001500US2003
NJ-01,2,0.7114093959731543,0.43478260869565216,Democratic,Solid Democratic,5001500US3401
FL-19,2,24.710526315789473,0.7046979865771812,Democratic,Solid Republican,5001500US1219
OR-02,2,24.32312925170068,5.5,Democratic,Solid Republican,5001500US4102
MD-07,2,2.28125,0.7466666666666667,Democratic,Solid Democratic,5001500US2407
WI-06,2,15.480978260869565,0.9698275862068966,Democratic,Likely Republican,5001500US5506
AZ-01,2,10.173469387755102,7.324137931034483,Democratic,Likely Democratic,5001500US0401
FL-02,2,1.4705882352941178,1.9333333333333333,Republican,Solid Republican,5001500US1202
PA-03,2,4.298472385428907,0.5630733944954128,Democratic,Solid Democratic,5001500US4203
OR-05,2,4.4,5.223684210526316,Republican,Solid Democratic,5001500US4105
MA-03,2,6.642857142857143,2.720720720720721,Democratic,Solid Democratic,5001500US2503
WA-03,2,23.302486187845304,2.6097560975609757,Democratic,Lean Republican,5001500US5303
IN-03,2,8.42962962962963,4.449735449735449,Democratic,Solid Republican,5001500US1803
NY-14,2,563.0213719407101,0.0,Democratic,Solid Democratic,5001500US3614
IA-03,2,12.015625,3.494047619047619,Democratic,Toss-Up Republican,5001500US1903
FL-04,2,3.8203125,0.0,Democratic,Solid Republican,5001500US1204
TX-17,2,5.1648148148148145,1.1111111111111112,Democratic,Solid Republican,5001500US4817
VA-04,2,4.47457627118644,1.2916666666666667,Democratic,Solid Democratic,5001500US5104
CA-26,2,1.7820512820512822,35.73,Republican,Solid Democratic,5001500US0626
PA-16,2,11.37984496124031,1.345679012345679,Democratic,Lean Republican,5001500US4216
VA-10,2,36.228388473852725,9.063613231552162,Democratic,Lean Democratic,5001500US5110
NH-01,2,9.834454912516824,15.103797468354431,Republican,Likely Democratic,5001500US3301
MO-08,2,4.328859060402684,4.597609561752988,Republican,Solid Republican,5001500US2908
ME-02,2,25.917582417582416,9.333333333333334,Democratic,Toss-Up Republican,5001500US2302
OR-04,2,2.3333333333333335,1.9285714285714286,Democratic,Solid Democratic,5001500US4104
MO-04,2,49.42959001782531,1.144,Democratic,Solid Republican,5001500US2904
TX-02,2,6.073394495412844,30.983870967741936,Republican,Likely Republican,5001500US4802
CA-42,2,9.957050823192555,2.7058823529411766,Democratic,Solid Republican,5001500US0642
PA-01,2,20.91545189504373,2.9935064935064934,Democratic,Toss-Up Republican,5001500US4201
TX-35,2,2.1607142857142856,0.45,Democratic,Solid Democratic,5001500US4835
TX-25,2,35.91216655823032,1.1044776119402986,Democratic,Solid Republican,5001500US4825
NC-05,2,36.274436090225564,1.8846153846153846,Democratic,Solid Republican,5001500US3705
GA-09,2,11.50390015600624,9.760416666666666,Democratic,Solid Republican,5001500US1309
FL-27,2,63.52530120481928,17.942307692307693,Democratic,Toss-Up Republican,5001500US1227
NC-07,2,16.403035413153457,1.3,Democratic,Solid Republican,5001500US3707
OH-15,2,12.036511156186613,2.558139534883721,Democratic,Solid Republican,5001500US3915
TX-04,2,2.769881556683587,16.0,Republican,Solid Republican,5001500US4804
GA-03,2,3.207612456747405,1.5384615384615385,Democratic,Solid Republican,5001500US1303
NV-02,2,4.889570552147239,11.0,Republican,Solid Republican,5001500US3202
WA-08,2,37.866840731070496,11.533333333333333,Democratic,Toss-Up Republican,5001500US5308
HI-02,2,251.1664275466284,1.345,Democratic,Solid Democratic,5001500US1502
MN-04,2,1.9832134292565948,3.21875,Republican,Solid Democratic,5001500US2704
ND-00,2,3.3089005235602094,3.8627450980392157,Republican,Solid Republican,5001500US3800
OH-01,2,49.841791044776116,7.172413793103448,Democratic,Toss-Up Republican,5001500US3901
NY-22,2,22.6156462585034,7.7784810126582276,Democratic,Toss-Up Republican,5001500US3622
NC-08,2,5.899328859060403,1.2,Democratic,Likely Republican,5001500US3708
NJ-11,2,41.149668874172185,7.882857142857143,Democratic,Lean Democratic,5001500US3411
MA-02,2,3.305263157894737,2.782608695652174,Democratic,Solid Democratic,5001500US2502
CA-24,2,2.0588235294117645,2.201535508637236,Republican,Solid Democratic,5001500US0624
GA-01,2,15.733732236350038,1.6666666666666667,Democratic,Solid Republican,5001500US1301
CT-05,2,15.687671232876712,2.5114942528735633,Democratic,Solid Democratic,5001500US0905
TX-29,2,7.844086021505376,1.5054945054945055,Democratic,Solid Democratic,5001500US4829
IN-08,2,6.132075471698113,1.903225806451613,Democratic,Solid Republican,5001500US1808
IL-10,2,2.7160493827160495,1.345679012345679,Democratic,Solid Democratic,5001500US1710
FL-05,2,0.48226950354609927,0.7647058823529411,Republican,Solid Democratic,5001500US1205
CA-41,2,3.0,48.151051625239006,Republican,Solid Democratic,5001500US0641
MN-07,2,6.421052631578948,85.01033591731266,Republican,Likely Democratic,5001500US2707
IN-02,2,2.8814814814814813,0.7830508474576271,Democratic,Likely Republican,5001500US1802
NY-25,2,4.462745098039216,2.961620469083156,Democratic,Solid Democratic,5001500US3625
OH-11,2,4.5,36.34897959183674,Republican,Solid Democratic,5001500US3911
PA-13,2,8.018867924528301,3.8043478260869565,Democratic,Solid Republican,5001500US4213
MI-08,2,53.87290969899666,1.576271186440678,Democratic,Toss-Up Republican,5001500US2608
MI-07,2,4.404255319148936,0.2,Democratic,Likely Republican,5001500US2607
OH-10,2,7.125581395348838,2.1923076923076925,Democratic,Likely Republican,5001500US3910
PA-05,2,10.086705202312139,2.585526315789474,Democratic,Likely Democratic,5001500US4205
MI-05,2,12.309859154929578,1.548476454293629,Democratic,Solid Democratic,5001500US2605
MA-05,2,9.661764705882353,11.266666666666667,Republican,Solid Democratic,5001500US2505
CO-03,2,4.073099415204679,0.6896551724137931,Democratic,Likely Republican,5001500US0803
TN-02,2,4.678403755868545,4.959485530546623,Republican,Solid Republican,5001500US4702
FL-01,2,5.000884955752213,180.13140311804008,Republican,Solid Republican,5001500US1201
IN-06,2,5.93048128342246,6.002832861189802,Republican,Solid Republican,5001500US1806
FL-07,2,10.566666666666666,9.666666666666666,Democratic,Likely Democratic,5001500US1207
NC-13,2,16.71707317073171,4.334841628959276,Democratic,Toss-Up Republican,5001500US3713
TX-07,2,24.104774535809018,2.822314049586777,Democratic,Toss-Up Republican,5001500US4807
CA-48,2,260.00323176361957,52.92156862745098,Democratic,Toss-Up Republican,5001500US0648
LA-04,2,2.296,0.6666666666666666,Democratic,Solid Republican,5001500US2204
NC-06,2,13.79415501905972,1.5098039215686274,Democratic,Solid Republican,5001500US3706
FL-09,2,6.366666666666666,4.782608695652174,Democratic,Solid Democratic,5001500US1209
MN-08,2,9.600760456273765,17.65989847715736,Republican,Toss-Up Democratic,5001500US2708
LA-05,2,20.333333333333332,1.962962962962963,Democratic,Solid Republican,5001500US2205
CA-31,2,2.6666666666666665,3.7523364485981308,Republican,Solid Democratic,5001500US0631
MA-06,2,114.37042062415196,3.739130434782609,Democratic,Solid Democratic,5001500US2506
OH-16,2,6.102439024390244,8.314878892733564,Republican,Solid Republican,5001500US3916
RI-02,2,0.5873015873015873,1.4285714285714286,Republican,Solid Democratic,5001500US4402
MO-02,2,16.561448900388097,5.4186046511627906,Democratic,Lean Republican,5001500US2902
AZ-06,2,9.282644628099174,3.4,Democratic,Likely Republican,5001500US0406
AL-03,2,10.682791435368754,2.1666666666666665,Democratic,Solid Republican,5001500US0103
OK-02,2,5.015723270440252,1.0206185567010309,Democratic,Solid Republican,5001500US4002
NC-10,2,7.313253012048193,0.8717948717948718,Democratic,Solid Republican,5001500US3710
TX-23,2,46.26627218934911,2.423076923076923,Democratic,Lean Republican,5001500US4823
VA-09,2,3.9148073022312375,4.006535947712418,Republican,Solid Republican,5001500US5109
PA-09,2,4.694656488549619,1.0546623794212218,Democratic,Solid Republican,5001500US4209
IL-14,2,43.740279937791605,2.076923076923077,Democratic,Toss-Up Republican,5001500US1714
