"HTS-4","COMMODITIES"
"8512","ELECTRICAL LIGHTING OR SIGNALING EQUIPMENT NESOI, WINDSHIELD WIPERS, DEFROSTERS AND DEMISTERS USED FOR CYCLES OR MOTOR VEHICLES; PARTS THEREOF"
"2820","MANGANESE OXIDES"
"2853","INORGANIC COMPOUNDS NESOI; LIQUID AIR; COMPRESSED AIR; AMALGAMS, OTHER THAN OF PRECIOUS METALS"
"1702","SUGARS NESOI, INCLUDING CHEMICALLY PURE LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE IN SOLID FORM; SUGAR SYRUPS (PLAIN); ARTIFICIAL HONEY; CARAMEL"
"4412","PLYWOOD, VENEERED PANELS AND SIMILAR LAMINATED WOOD"
"6907","UNGLAZED CERAMIC FLAGS AND PAVING, HEARTH OR WALL TILES; UNGLAZED CERAMIC MOSAIC CUBES AND SIMILAR PRODUCTS"
"2304","SOYBEAN OILCAKE AND OTHER SOLID RESIDUES RESULTING FROM THE EXTRACTION OF SOY BEAN OIL, WHETHER OR NOT GROUND OR IN THE FORM OF PELLETS"
"7804","LEAD PLATES, SHEETS, STRIP AND FOIL; LEAD POWDERS AND FLAKES"
"8425","PULLEY TACKLE AND HOISTS OTHER THAN SKIP HOISTS; WINCHES AND CAPSTANS; JACKS"
"5206","COTTON YARN (OTHER THAN SEWING THREAD), CONTAINING LESS THAN 85% (BY WT.) COTTON, NOT PUT UP FOR RETAIL SALE"
"2605","COBALT ORES AND CONCENTRATES"
"2518","DOLOMITE, WHETHER OR NOT CALCINED; DOLOMITE ROUGHLY TRIMMED OR MERELY CUT INTO BLOCKS OR SLABS OF RECTANGULAR OR SQUARE SHAPE; DOLOMITE RAMMING MIX"
"3201","TANNING EXTRACTS OF VEGETABLE ORIGIN; TANNINS AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES"
"4302","TANNED OR DRESSED FURSKINS (INCLUDING HEADS, TAILS AND OTHER PIECES OR CUTTINGS), WHETHER OR NOT ASSEMBLED"
"3703","PHOTOGRAPHIC PAPER, PAPERBOARD AND TEXTILES, SENSITIZED, UNEXPOSED"
"4811","PAPER, PAPERBOARD, CELLULOSE WADDING AND WEBS, COATED, IMPREGNATED, SURFACE-COLORED, SURFACE-DECORATED OR PRINTED, NESOI, IN ROLLS OR SHEETS"
"8907","FLOATING STRUCTURES NESOI (INCLUDING RAFTS, TANKS, COFFERDAMS, LANDING STAGES, BUOYS AND BEACONS)"
"5908","TEXTILE WICKS FOR LAMPS, STOVES, LIGHTERS, CANDLES ETC; GAS MANTLES AND TUBULAR KNITTED GAS MANTLE FABRIC, WHETHER OR NOT IMPREGNATED"
"5105","WOOL AND FINE OR COARSE ANIMAL HAIR, CARDED OR COMBED"
"6806","MINERAL WOOLS (SLAG, ROCK ETC.); EXFOLIATED VERMICULITE, EXPANDED CLAYS AND THE LIKE; MIXTURES AND ARTICLES OF INSULATING MINERAL MATERIALS NESOI"
"4418","BUILDERS' JOINERY AND CARPENTRY OF WOOD, INCLUDING CELLULAR WOOD PANELS, ASSEMBLED PARQUET PANELS, SHINGLES AND SHAKES"
"5301","FLAX, RAW OR PROCESSED BUT NOT SPUN; FLAX TOW AND WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK)"
"2703","PEAT (INCLUDING PEAT LITTER) WHETHER OR NOT AGGLOMERATED"
"8516","ELECTRIC WATER HEATERS ETC., SPACE AND SOIL HEATING APPARATUS; ELECTROTHERMIC HAIR APPARATUS (CURLERS ETC.), HAND-DRYERS, FLATIRONS ETC.; PARTS"
"1001","WHEAT AND MESLIN"
"8536","ELECTRICAL APPARATUS FOR SWITCHING OR PROTECTING ELECTRICAL CIRCUITS, OR FOR MAKING CONNECTIONS TO OR IN ELECTRICAL CIRCUITS, VOLTAGE NOT OVER 1,000 V"
"3801","ARTIFICIAL GRAPHITE; COLLOIDAL GRAPHITE; PREPARATIONS BASED ON GRAPHITE OR OTHER CARBON IN PASTES, BLOCKS, PLATES OR OTHER SEMIMANUFACTURES"
"2712","PETROLEUM JELLY; PARAFFIN WAX, MICROCRYSTALLINE PETROLEUM WAX, SLACK WAX, OTHER MINERAL WAXES, AND SIMILAR PRODUCTS"
"7018","GLASS BEADS, IMITATION STONES ETC. AND ARTICLES NESOI; GLASS EYES NESOI; LAMP-WORKED GLASS ORNAMENTS; GLASS MICROSPHERES, NOT OVER 1 MM IN DIAMETER"
"7216","ANGLES, SHAPES AND SECTIONS OF IRON OR NONALLOY STEEL"
"2847","HYDROGEN PEROXIDE, WHETHER OR NOT SOLIDIFIED WITH UREA"
"4401","FUEL WOOD IN LOGS, FAGGOTS ETC.; WOOD IN CHIPS OR PARTICLES; SAWDUST AND WOOD SCRAP, WHETHER OR NOT AGGLOMERATED IN LOGS, BRIQUETTES OR OTHER FORMS"
"7320","SPRINGS AND LEAVES FOR SPRINGS, OF IRON OR STEEL"
"4012","RETREADED OR USED PNEUMATIC TIRES OF RUBBER; SOLID OR CUSHION TIRES, TIRE TREADS AND TIRE FLAPS, OF RUBBER"
"1404","VEGETABLE PRODUCTS, NESOI"
"2850","HYDRIDES, NITRIDES, AZIDES, SILICIDES AND BORIDES, WHETHER OR NOT CHEMICALLY DEFINED"
"3905","POLYMERS OF VINYL ACETATE OR OF OTHER VINYL ESTERS, IN PRIMARY FORMS; VINYL POLYMERS NESOI, IN PRIMARY FORMS"
"8460","MACHINE TOOLS FOR DEBURRING, HONING OR OTHERWISE FINISHING METAL OR CERMETS BY MEANS OF GRINDING, ABRASIVE OR POLISHING PRODUCTS, NESOI"
"3707","CHEMICAL PREPARATIONS FOR USE IN PHOTOGRAPHY; UNMIXED PRODUCTS FOR PHOTOGRAPHIC USES, PACKAGED IN MEASURED PORTIONS READY FOR USE OR RETAIL SALE"
"7112","WASTE AND SCRAP OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL; OTHER WASTE AND SCRAP CONTAINING PRECIOUS METAL PRINCIPALLY USE FOR RECOVERY"
"5811","QUILTED TEXTILE PRODUCTS IN THE PIECE (ONE OR MORE LAYERS ASSEMBLED WITH PADDING BY STITCHING ETC.), OTHER THAN EMBROIDERY"
"9704","POSTAGE OR REVENUE STAMPS, STAMP-POSTMARKS, FIRST-DAY COVERS, POSTAL STATIONARY (STAMPED) ETC., USED OR UNUSED, OTHER THAN THOSE OF HEADING 4907"
"5203","COTTON, CARDED OR COMBED"
"8502","ELECTRIC GENERATING SETS AND ROTARY CONVERTERS"
"4806","VEGETABLE PARCHMENT, GREASEPROOF PAPERS, TRACING PAPERS, GLASSINE AND OTHER GLAZED TRANSPARENT OR TRANSLUCENT PAPERS, IN ROLLS OR SHEETS"
"2916","ACYCLIC (UNSATURATED) AND CYCLIC MONOCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES ETC.; THEIR HALOGENATED, SULFONATED ETC. DERIVATIVES"
"5907","TEXTILE FABRICS OTHERWISE IMPREGNATED, COATED OR COVERED; PAINTED CANVAS BEING THEATRICAL SCENERY, STUDIO BACK-CLOTHS OR THE LIKE"
"6815","ARTICLES OF STONE OR OTHER MINERAL SUBSTANCES (INCLUDING CARBON FIBERS, ARTICLES OF CARBON FIBERS AND ARTICLES OF PEAT), NESOI"
"0304","FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN"
"7019","GLASS FIBERS (INCLUDING GLASS WOOL) AND ARTICLES THEREOF, INCLUDING YARN AND WOVEN FABRICS"
"2209","VINEGAR AND SUBSTITUTES FOR VINEGAR OBTAINED FROM ACETIC ACID"
"3913","NATURAL POLYMERS AND MODIFIED NATURAL POLYMERS (INCLUDING HARDENED PROTEINS AND CHEMICAL DERIVATIVES OF NATURAL RUBBER), NESOI, IN PRIMARY FORMS"
"3301","ESSENTIAL OILS, CONCRETES AND ABSOLUTES; RESINOID;EXTRACTED OLEORESINS; CONCEN OF ESSEN OILS AND TERPENIC BY PRODS; AQUEOUS SOLUTNS ETC. OF ESSEN OIL"
"5404","SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE, WITH NO CROSS-SECTIONAL DIMENSION OVER 1 MM; STRIP ETC. OF SYNTHETIC TEXTILES NOT OVER 5 MM IN WIDTH"
"6914","CERAMIC ARTICLES NESOI"
"5505","WASTE OF MANMADE FIBERS (INCLUDING NOILS, YARN WASTE AND GARNETTED STOCK)"
"2803","CARBON, NESOI (INCLUDING CARBON BLACK)"
"4504","AGGLOMERATED CORK AND ARTICLES THEREOF"
"2910","EPOXIDES, EPOXYALCOHOLS, EPOXYPHENOLS AND EPOXYETHERS WITH A THREE-MEMBERED RING, AND HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVE"
"8102","MOLYBDENUM AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP"
"2007","JAMS, FRUIT JELLIES, MARMALADES, FRUIT OR NUT PUREE AND FRUIT OR NUT PASTES, BEING COOKED PREPARATIONS, WHETHER OR NOT CONTAINING ADDED SWEETENING"
"5402","SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENTS OF LESS THAN 67 DECITEX"
"7014","SIGNALLING GLASSWARE AND OPTICAL ELEMENTS OF GLASS NESOI, NOT OPTICALLY WORKED"
"7302","RAILWAY OR TRAMWAY TRACK CONSTRUCTION MATERIAL OF IRON OR STEEL"
"8215","SPOONS, FORKS, LADLES, CAKE-SERVERS, BUTTER-KNIVES, ETC. AND SIMILAR KITCHEN OR TABLEWARE OF BASE METAL, AND BASE METAL PARTS THEREOF"
"5702","CARPETS AND OTHER TEXTILE FLOOR COVERINGS, WOVEN, NOT TUFTED OR FLOCKED, INCLUDING KELEM, SCHUMACKS, KARAMANIE AND SIMILAR HAND-WOVEN RUGS"
"5005","YARN SPUN FROM SILK WASTE, NOT PUT UP FOR RETAIL SALE"
"2828","HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITE; CHLORITES; HYPOBROMITES"
"2701","COAL; BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL"
"4407","WOOD SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, MORE THAN 6 MM (.236 IN.) THICK"
"4203","ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, OF LEATHER OR COMPOSITION LEATHER"
"4822","BOBBINS, SPOOLS, COPS AND SIMILAR SUPPORTS OF PAPER PULP, PAPER OR PAPERBOARD"
"5007","WOVEN FABRICS OF SILK OR SILK WASTE"
"2928","ORGANIC DERIVATIVES OF HYDRAZINE OR HYDROXYLAMINE"
"7603","ALUMINUM POWDERS AND FLAKES"
"2809","DIPHOSPHORUS PENTAOXIDE; PHOSPHORIC ACID AND POLYPHOSPHORIC ACIDS"
"7505","NICKLE BARS, RODS, PROFILES AND WIRE"
"6004","KNITTED OR CROCHETED FABRICS OF A WIDTH EXCEEDING 30 CM, CONTAINNG BY WEIGHT 5% OR MORE ELASTOMERIC YARN OR RUBBER THREAD, OTHER THAN THOSE HEAD 6001"
"3105","MINERAL OR CHEMICAL FERTILIZERS WITH TWO OF THE THREE FERTILIZER ELEMENTS; FERTILIZERS NESOI; FERTILIZERS IN PACKS ETC. NOT OVER 10 KG GROSS WEIGHT"
"2918","CARBOXYLIC ACIDS WITH ADDED OXYGEN FUNCTION AND THEIR ANHYDRIDES, HALIDES, PEROXIDES ETC.; THEIR HALOGENATED, SULFONATED, NITRATED ETC. DERIVATIVES"
"2939","VEGETABLE ALKALOIDS, NATURAL OR SYNTHETIC, AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES"
"4104","TANNED OR CRUST HIDES/SKINS OF BOVINE (INC. BUFFALO) OR EQUINE ANIMALS, WITHOUT HAIR ON WHETHER/NOT SPLIT, NT FURT PREPED, NES"
"3917","TUBES, PIPES AND HOSES, AND FITTINGS THEREFOR (INCLUDING JOINTS, ELBOWS AND FLANGES), OF PLASTICS"
"2621","ASH AND SLAG NESOI, INCLUDING SEAWEED ASH (KELP); ASH AND RESIDUES FROM THE INCINERATION OF MUNICIPAL WASTE"
"2823","TITANIUM OXIDES"
"6813","FRICTION MATERIAL AND ARTICLES THEREOF (SHEETS, ROLLS, STRIPS, DISCS ETC.), BASED ON ASBESTOS, OTHER MINERAL SUBSTANCES OR OF CELLULOSE"
"2711","PETROLEUM GASES AND OTHER GASEOUS HYDROCARBONS"
"3805","GUM, WOOD OR SULFATE TURPENTINE ETC. FROM CONIFEROUS WOODS; CRUDE DIPENTENE; SULFITE TURPENTINE ETC.; PINE OIL WITH ALPHA-TERPINEOL PREDOMINATING"
"0711","VEGETABLES PROVISIONALLY PRESERVED (BY SULFUR DIOXIDE GAS, IN BRINE ETC.), BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION"
"9017","DRAWING, MARKING-OUT OR MATHEMATICAL CALCULATING INSTRUMENTS; HAND INSTRUMENTS FOR MEASURING LENGTH, NESOI; PARTS AND ACCESSORIES THEREOF"
"7309","RESERVOIRS, TANKS, CASKS, VATS AND SIMILAR CONTAINERS NESOI, OF A CAPACITY OF MORE THAN 300 LITERS (79.25 GAL.), OF IRON OR STEEL"
"7602","ALUMINUM WASTE AND SCRAP"
"2831","DITHIONITES AND SULFOXYLATES"
"4107","LEATHER FURTHER PREPED AFTER TANNING/CRUSTING, INCD PARCHMENT-DRESSED LTHR OF BOVINE/EQUINE ANIMALS, NESOI, WITHOUT HAIR ON, WHETHER/NOT SPLIT,NES"
"2826","FLUORIDES; FLUOROSILICATES, FLUOROALUMINATES AND OTHER COMPLEX FLUORINE SALTS"
"2815","SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM"
"2401","TOBACCO, UNMANUFACTURED (WHETHER OR NOT THRESHED OR SIMILARLY PROCESSED); TOBACCO REFUSE"
"0410","EDIBLE PRODUCTS OF ANIMAL ORIGIN, NESOI"
"6003","KNITTED OR CROCHETED FABRICS OF A WIDTH NOT EXCEEDING 30 CM, OTHER THAN THOSE OF HEADING 6001 OR 6002"
"8406","STEAM TURBINES AND OTHER VAPOR TURBINES, AND PARTS THEREOF"
"2835","PHOSPHINATES (HYPOPHOSPHITES), PHOSPHONATES (PHOSPHITES), PHOSPHATES AND POLYPHOSPHATES"
"8451","MACHINERY (EXCEPT LAUNDRY) FOR WASHING, CLEANING, PRESSING, UNREELING ETC. TEXTILES; MACHINES FOR APPLYING PASTE TO FLOOR COVERINGS; PARTS THEREOF"
"2901","ACYCLIC HYDROCARBONS"
"2929","NITROGEN FUNCTION COMPOUNDS NESOI"
"7004","DRAWN GLASS AND BLOWN GLASS, IN SHEETS, WHETHER OR NOT HAVING AN ABSORBENT, REFLECTING OR NONREFLECTING LAYER, BUT NOT OTHERWISE WORKED"
"4819","CARTONS, BAGS AND OTHER PACKING CONTAINERS OF PAPER, PAPERBOARD, CELLULOSE WADDING ETC.; OFFICE BOX FILES, LETTER TRAYS, ETC. OF PAPER OR PAPERBOARD"
"8522","PARTS AND ACCESSORIES SUITABLE FOR USE SOLELY OR PRINCIPALLY WITH THE APPARATUS OF HEADINGS 8519 OR 8521"
"1208","FLOURS AND MEALS OF OIL SEEDS OR OLEAGINOUS FRUITS, OTHER THAN THOSE OF MUSTARD"
"3214","GLAZIERS' PUTTY, CAULKING COMPOUNDS AND OTHER MASTICS; PAINTERS' FILLINGS; NONREFRACTORY SURFACING PREPARATIONS FOR FACADES, INDOOR WALLS, FLOORS ETC."
"2915","SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS; THEIR HALOGENATED, SULFONATED ETC. DERIVATIVES"
"4421","ARTICLES OF WOOD, NESOI"
"4416","CASKS, BARRELS, VATS, TUBS AND OTHER COOPERS' PRODUCTS AND PARTS THEREOF, OF WOOD, INCLUDING STAVES"
