HTS-4,COMMODITIES,IMPORT
0208,"MEAT AND EDIBLE MEAT OFFAL NESOI, FRESH, CHILLED OR FROZEN",15937174
0301,"FISH, LIVE",1594239
0302,"FISH, FRESH OR CHILLED, EXCLUDING FISH FILLETS AND OTHER FISH MEAT WITHOUT BONES; FISH LIVERS AND ROES, FRESH OR CHILLED",1903996
0303,"FISH, FROZEN, EXCLUDING FISH FILLETS AND OTHER FISH MEAT WITHOUT BONES; FISH LIVERS AND ROES, FROZEN",144234095
0304,"FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN",1277061628
0305,"FISH, DRIED, SALTED OR IN BRINE; SMOKED FISH; FISH MEAL FIT FOR HUMAN CONSUMPTION",55285833
0306,"CRUSTACEANS, LIVE FRESH CHILLED FROZEN DRIED ETC; SMOKED; IN SHELL, COOKED BY STEAM OR BOILING WATER; FLOURS, MEALS & PELLETS FOR HUMAN CONSUMPTION",166339662
0307,"MOLLUSCS, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN BRINE; SMOKED; FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION",299020432
0308,"AQUATIC INVERTEBRATES OTHER THAN CRUSTACEANS & MOLLUSCS, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED/ IN BRINE; SMOKED; EDIBLE FLOURS, MEALS & PELLETS",3914227
0405,BUTTER AND OTHER FATS AND OILS DERIVED FROM MILK,92943
0407,"BIRDS' EGGS, IN SHELL, FRESH, PRESERVED OR COOKED",5572085
0408,"BIRDS' EGGS, NOT IN SHELL AND EGG YOLKS, FRESH, DRIED, COOKED BY STEAM ETC., MOLDED, FROZEN OR OTHERWISE PRESERVED, SWEETENED OR NOT",2390629
0409,"HONEY, NATURAL",959896
0410,"EDIBLE PRODUCTS OF ANIMAL ORIGIN, NESOI",4158213
0501,"HUMAN HAIR, UNWORKED, WHETHER OR NOT WASHED OR SCOURED; WASTE OF HUMAN HAIR",256088
0502,"PIGS', HOGS' OR BOARS' BRISTLES AND HAIR; BADGER AND OTHER BRUSHMAKING HAIR; WASTE OF SUCH BRISTLES OR HAIR",9087682
0504,"ANIMAL GUTS, BLADDERS AND STOMACHS (OTHER THAN FISH), WHOLE AND PIECES THEREOF, FRESH, CHILLED, FROZEN, SALTED, IN BRINE, DRIED OR SMOKED",150195095
0505,"BIRD SKINS AND OTHER FEATHERED PARTS OF BIRDS, FEATHERS AND PARTS OF FEATHERS AND DOWN, NOT FURTHER WORKED THAN CLEANED ETC.",114137576
0506,"BONES AND HORN-CORES, UNWORKED, DEFATTED, SIMPLY PREPARED (NOT CUT TO SHAPE), TREATED WITH ACID ETC.; POWDER AND WASTE OF THESE PRODUCTS",325250
0507,"IVORY, TORTOISE-SHELL, WHALEBONE AND WHALEBONE HAIR, HORNS, HOOVES, CLAWS ETC., UNWORKED OR SIMPLY PREPARED, NOT CUT TO SHAPE",84610
