"HTS Number","COMMODITIES","IMPORT"
"02081000","Meat and edible meat offal of rabbits or hares, fresh, chilled or frozen","3,802,534"
"02089020","Meat and edible offal of deer, fresh, chilled or frozen","77,700"
"02089025","Frog legs, fresh, chilled or frozen","12,056,940"
"03011100","Live ornamental freshwater fish","1,555,781"
"03011900","Live ornamental fish, other than freshwater","38,458"
"03021300","Pacific salmon, fresh or chilled, excluding fillets, other meat portions, livers and roes","501,572"
"03022300","Sole, fresh or chilled, excluding fillets, other meat portions, livers and roes","34,960"
"03022901","Flat fish, nesi, fresh or chilled, excluding fillets, other meat portions, livers and roes","73,330"
"03023200","Yellowfin tunas, fresh or chilled, excluding fillets, other meat portions, livers and roes","4,416"
"03023400","Bigeye tunas (Thunnas obesus), fresh or chilled, excluding fillets, other meat portions, livers and roes","6,939"
"03023501","Atlantic & Pacific bluefin tunas, fresh or chilled, excluding fillets, other meat portions, livers and roes","10,061"
"03023600","Southern bluefin tunas (Thunnas maccoyii), fresh or chilled, excluding fillets, other meat portions, livers and roes","55,780"
"03024300","Sardines, sardinella, brisling or sprats, fresh or chilled, excluding fillets, other meat portions, livers and roes","151,493"
"03024550","Jack & horse mackerel excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers > 6.8 kg","398,112"
"03025950","Bregmacerotidae fish, etc. excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers > 6.8 kg","2,847"
"03027111","Tilapias, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg","25,816"
"03027150","Tilapias, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg","17,290"
"03027400","Eels, fresh or chilled, excluding fillets, other meat portions, livers and roes","38,350"
"03028950","Fish, nesi, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate containers over 6.8 kg","583,030"
"03031200","Pacific salmon, other than sockeye, frozen, excluding fillets, other meat portions, livers and roes","17,410,791"
"03032300","Tilapias, frozen, excluding fillets, other meat portions, livers and roes","31,522,280"
"03032400","Catfish, frozen, excluding fillets, other meat portions, livers and roes","30,034"
"03032600","Eels, frozen, excluding fillets, other meat portions, livers and roes","479,425"
"03032901","Other fish in 0303.2 grouping nesi, frozen, excluding fillets, other meat portions, livers and roes","487,994"
"03033100","Halibut and Greenland turbot, frozen, excluding fillets, other meat portions & livers and roes","558,500"
"03033300","Sole, frozen, excluding fillets, other meat portions, livers and roes","86,454"
"03033901","Flat fish, other than halibut, Greenland turbot, plaice and sole, frozen, excluding fillets, other meat portions, livers and roes","417,124"
"03034100","Albacore or longfinned tunas, frozen, excluding fillets, other meat portions, livers and roes","379,876"
"03034200","Yellowfin tunas, frozen, excluding fillets, other meat portions, livers and roes","28,175"
"03035300","Sardines, sardinella, brisling or sprats, frozen, excluding fillets, other meat portions, livers and roes","95,660"
"03035400","Mackerel, frozen, excluding fillets, livers and roes","483,100"
"03035500","Jack & horse mackerel, frozen, excluding fillets, other meat portions, livers and roes","1,093,644"
"03035900","Other fish, frozen, excluding fillets, livers, roes and herrings","769,954"
"03036300","Cod, frozen, excluding fillets, other meat portions, livers and roes","15,666,978"
"03036400","Haddock, frozen, excluding fillets, other meat portions, livers and roes","191,711"
"03036700","Alaska pollack, frozen, excluding fillets, other meat portions, livers and roes","380,363"
"03036900","Other fish in Bregmacerotidae et al,etc. frozen, excluding fillets, other meat portions, livers and roes","1,842,095"
"03038900","Smelts, cusk, pollock, shad, sturgeon, atkafish, fresh-water fish,etc. frozen, excluding fillets, other meat portions, livers and roes","71,752,274"
"03039140","Herring, salmon, alaskan pollock, mullet, other fist liver and roes, frozen","544,763"
"03039900","Other fish, frozen, nesoi","12,900"
"03043200","Catfish, fillets, fresh or chilled","2,085,314"
"03043300","Nile perch, fillets, fresh or chilled","125,555"
"03043900","Eels or snakeheads, fillets, fresh or chilled","456,853"
"03044100","Salmon fillets, fresh or chilled","7,089,256"
"03044300","Flat fish , sole, plaice, etc. fillets, fresh or chilled","3,191,818"
"03044400","Bregamacerotidae & like fish, fillets, fresh or chilled","1,097,314"
"03044901","Pike, pickerel, whitefish, tilapia, perch, cusk, other fish fillets, fresh or chilled","156,107"
"03045101","Tilapias, catfish, carp, eels, nile perch, snakeheads, other than fillets, fresh or chilled","16,380"
"03045300","Bregmacerotidae and other fish, nesi, other than fillets, fresh or chilled","422,816"
"03045900","Other fish, nesi, other than fillets, fresh or chilled","2,425,115"
"03046100","Frozen tilapia fillets","385,952,333"
"03046200","Frozen catfish fillets","36,239,192"
"03046300","Frozen Nile perch fillets","75,580"
"03046900","Frozen eel & snakehead fillets","6,225,808"
